year,NAFO,NAFO.kg,NAFO.N
1961,1924,1924000,48907
1962,3016,3016000,76665
1963,6563,6563000,166828
1964,9281,9281000,235918
1965,5151,5151000,130935
1966,2114,2114000,53737
1967,625,625000,15887
1968,1068,1068000,27148
1969,1073,1073000,27275
1970,879,879000,22344
1971,452,452000,11490
1972,347,347000,8821
1973,269,269000,6838
1974,0,0,0
1975,80,80000,2034
1976,307,307000,7804
1977,295,295000,7499
1978,122,122000,3101
1979,301,301000,7651
1980,426,426000,10829
1981,347,347000,8821
1982,261,261000,6634
1983,265,265000,6736
1984,164,164000,4169
1985,236,236000,5999
1986,300,300000,7626
1987,468,468000,11896
1988,500,500000,12710
1989,566,566000,14387
1990,664,664000,16878
1991,1567,1567000,39832
1992,1991,1991000,50610
1993,1432,1432000,36401
1994,1578,1578000,40112
1995,1364,1364000,34672
1996,1100,1100000,27961
1997,1337,1337000,33986
1998,1095,1095000,27834
1999,967,967000,24581
2000,941,941000,23920
2001,528,528000,13421
2002,236,236000,5999
2003,143,143000,3635
2004,228,228000,5796
2005,210,210000,5338
2006,199,199000,5058
2007,99,99000,2517
2008,162,162000,4118
2009,63,63000,1601
