"","Scenario","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070"
"1",0,0.94,1,1,1,1,1,1,1,1,1,1
"2",1000,0.97,1,1,1,1,1,1,1,1,1,1
"3",2000,0.945,1,1,1,1,1,1,1,1,1,1
"4",3000,0.925,1,1,1,1,1,1,1,1,1,1
"5",4000,0.93,0.99,1,1,1,1,1,1,1,1,1
"6",5000,0.93,0.975,1,1,1,1,1,1,1,1,1
"7",6000,0.915,0.97,0.99,1,1,1,1,1,1,1,1
"8",7000,0.915,0.97,0.99,0.99,0.995,0.995,1,1,1,1,1
"9",8000,0.94,0.965,0.97,0.97,0.97,0.97,0.975,0.975,0.975,0.975,0.97
"10",9000,0.93,0.945,0.95,0.95,0.95,0.95,0.94,0.94,0.935,0.935,0.93
"11",10000,0.95,0.95,0.935,0.925,0.915,0.915,0.91,0.905,0.9,0.9,0.895
"12",11000,0.955,0.935,0.91,0.895,0.875,0.87,0.86,0.85,0.85,0.85,0.85
"13",12000,0.945,0.92,0.875,0.85,0.835,0.825,0.815,0.81,0.8,0.795,0.795
"14",13000,0.93,0.875,0.83,0.8,0.795,0.785,0.78,0.765,0.765,0.765,0.765
"15",14000,0.92,0.845,0.78,0.745,0.74,0.735,0.725,0.705,0.7,0.695,0.685
"16",15000,0.955,0.845,0.76,0.735,0.725,0.7,0.675,0.675,0.67,0.67,0.665
"17",16000,0.955,0.85,0.765,0.725,0.695,0.685,0.67,0.665,0.66,0.655,0.645
"18",17000,0.895,0.77,0.72,0.675,0.655,0.64,0.625,0.62,0.605,0.58,0.565
"19",18000,0.925,0.755,0.685,0.635,0.62,0.605,0.585,0.57,0.55,0.54,0.535
"20",19000,0.955,0.785,0.695,0.655,0.62,0.595,0.58,0.55,0.54,0.53,0.525
"21",20000,0.935,0.755,0.68,0.625,0.59,0.555,0.535,0.51,0.485,0.45,0.44
"22",21000,0.93,0.72,0.64,0.585,0.55,0.515,0.47,0.44,0.415,0.395,0.375
"23",22000,0.96,0.73,0.635,0.58,0.535,0.495,0.45,0.42,0.39,0.37,0.35
"24",23000,0.94,0.7,0.62,0.545,0.495,0.425,0.38,0.365,0.335,0.31,0.305
"25",24000,0.94,0.66,0.565,0.49,0.42,0.38,0.355,0.3,0.275,0.26,0.26
