"","year","mt","por.kg","N","N.ratio","N.ratio.yr","N.med","N.med.yr"
"1",1961,1924,1924000,48906.96492,78807.6149273835,55139.9062869903,63011.6756911005,47032.9191020676
"2",1962,3016.549,3016549,76678.9273,123558.748441572,86451.2625624294,98793.0391342585,73740.699108328
"3",1963,6592.879,6592879,167587.1632,270046.293916234,188945.285977893,215919.102608455,161165.45980079
"4",1964,9301.968,9301968,236450.6355,381011.388882975,266585.053952486,304642.71876559,227390.181098764
"5",1965,5208.027,5208027,132385.028,213322.342176412,149256.819501099,170564.713261172,127312.220671717
"6",1966,2150.04,2150040,54652.77072,88066.2808723865,61617.9855058631,70414.565074269,52558.5537350361
"7",1967,645.807,645807,16416.03965,26452.4476992769,18508.1795527455,21150.4060514774,15787.000200909
"8",1968,1084.434,1084434,27565.68378,44418.7406892735,31078.7885314065,35515.5943432447,26509.4057138938
"9",1969,1097.323,1097323,27893.31469,44946.6779807491,31448.1743173384,35937.713619743,26824.4822701861
"10",1970,925.763,925763,23532.35892,37919.5291153947,26531.4371434319,30319.0633694492,22630.632165638
"11",1971,562.639,562639,14301.9573,23045.8615671144,16124.668260606,18426.6248436409,13753.9264920313
"12",1972,393.019,393019,9990.315201,16098.1756814685,11263.5295369057,12871.5102746573,9607.50043273156
"13",1973,361.011,361011,9176.690391,14787.1184368761,10346.2124264931,11823.2370337421,8825.05257690049
"14",1974,88.258,88258,2243.467209,3615.07405315022,2529.38557644345,2890.48049539768,2157.50071419453
"15",1975,143.446,143446,3646.314184,5875.5910243625,4111.01818983555,4697.90687691559,3506.5925745921
"16",1976,472.568,472568,12012.40468,19356.5264922057,13543.3239263152,15476.7679615343,11552.1062963752
"17",1977,475.23,475230,12080.07117,19465.5628076614,13619.6141708765,15563.9493964042,11617.179908979
"18",1978,250.346,250346,6363.650229,10254.2469680929,7174.66475016781,8198.91941921218,6119.80414008639
"19",1979,469.407,469407,11932.05389,19227.0509876395,13452.732843273,15373.2441014202,11474.8344370812
"20",1980,578.833,578833,14713.59939,23709.1726461862,16588.7720248531,18956.9840308247,14149.7950429351
"21",1981,513.708,513708,13058.15963,21041.6331856114,14722.3549786264,16824.1174095238,12557.7894002521
"22",1982,338.555,338555,8605.871886,13867.313966601,9702.64603585862,11087.7951474015,8276.10703045764
"23",1983,365.857,365857,9299.872903,14985.6120449521,10485.0939160288,11981.9452356128,8943.51490848501
"24",1984,281.035,281035,7143.746823,11511.2775785433,8054.18064623925,9203.99494690666,6870.00853422535
"25",1985,355.363,355363,9033.121505,14555.7746691475,10184.3464230061,11638.2630502165,8686.98504722872
"26",1986,462.457,462457,11755.38892,18942.3769108488,13253.552828359,15145.6291606441,11304.9390172479
"27",1987,580.034,580034,14744.12811,23758.3659650676,16623.1914777901,18996.3172026049,14179.1539492977
"28",1988,554.198,554198,14087.39197,22700.1156847849,15882.757684219,18150.1791292393,13547.5830044323
"29",1989,626.859,626859,15934.39248,25676.3319572582,17965.1489164015,20529.8523971141,15323.8090620598
"30",1990,695.627,695627,17682.43518,28493.0897864298,19935.9706812371,22782.0285478031,17004.8692391965
"31",1991,1586.158,1586158,40319.21708,64969.5056538403,45457.6941145322,51947.231544098,38774.241630508
"32",1992,2021.241,2021241,51378.77478,82790.6353448231,57926.7356150845,66196.3525912451,49410.0127020698
"33",1993,1474.859,1474859,37490.06101,60410.665355606,42267.9766354076,48302.1502069131,36053.4948201436
"34",1994,1725.552,1725552,43862.53177,70679.125547389,49452.5860568236,56512.4339979885,42181.7815085296
"35",1995,1423.734,1423734,36190.49314,58316.5700784945,38695.9793493761,46627.7885022834,38509.2338459495
"36",1996,1211.69,1211690,30800.45755,49631.1844757595,31186.9779094577,39683.2730343813,24893.7507514603
"37",1997,1432.285,1432285,36407.8546,58666.8215936941,58438.181657162,46907.8367553159,51281.873238559
"38",1998,1144.327,1144327,29088.12913,46871.9758664283,117101.543087913,37477.1111271153,111319.073688192
"39",1999,1046.534,1046534,26602.28775,42866.3453640408,43996.4260042243,34274.3560331134,50438.3137054981
"40",2000,988.254,988254,25120.84392,40479.1791488807,112392.947362013,32365.6655657135,107655.604327941
"41",2001,574.229,574229,14596.56838,23520.5914304244,63539.4052348667,18806.2014139423,74102.4843917057
"42",2002,282.364,282364,7177.529232,11565.7138156735,9901.87498907264,9247.52016363924,9047.42375403184
"43",2003,163.514,163514,4156.431113,6697.58230105831,15847.5375065498,5355.14092461258,17812.423209093
"44",2004,264.143,264143,6714.361973,10819.376210896,15618.0451987742,8650.77601459166,11967.2199861662
"45",2005,237.413,237413,6034.900864,9724.50742346929,13428.8128458005,7775.35912726156,10756.1949344699
"46",2006,216.794,216794,5510.777834,8879.94702212432,8523.30617184339,7100.07963605844,7258.288230154
"47",2007,101.382,101382,2577.071683,4152.63701484823,5574.79435979305,3320.29610442575,6433.21084537122
"48",2008,141.1316675,141131.6675,3587.485193,5780.79527359643,7816.44494360043,4622.11167476831,7831.28344569859
"49",2009,83.81430402,83814.30402,2130.511032,3433.05893794949,3839.84586298959,2744.94789146754,3289.8175901171
"50",2010,112.7025017,112702.5017,2864.832275,4616.32814725904,6964.65107282293,3691.04651075681,7774.35986315121
"51",2011,86.87995655,86879.95655,2208.438143,3558.62898165292,4945.53633437771,2845.349088454,3255.80900003307
"52",2012,147.1382602,147138.2602,3740.169298,6026.82710547129,4845.49616512547,4818.82969515341,4419.30251818759
"53",2013,283.8821092,283882.1092,7216.11869,11627.896022145,23786.0010305276,9297.23877308522,30924.7420438639
"54",2014,34.71705831,34717.05831,882.4875014,1422.02108248753,1632.69357522697,1136.995851964,1411.46875924644
"55",2015,93.09298007,93092.98007,2366.3696,3813.11628160039,7632.40861071753,3048.82779069071,10141.0983695739
"56",2016,29.95930137,29959.30137,761.5480775,1227.14193651788,1944.33874304065,981.177641298535,2695.37877685505
"57",2017,50.31196432,50311.96432,1278.900974,2060.79309270833,2914.52906320412,1647.73450057903,3281.80749784827
"58",2018,28.32751448,28327.51448,720.0690005,1160.30345789487,1885.04760223017,927.736047582491,2258.11863531125
